476:476	it was clarified that the two mummies were found in the ghor al safi region within the governate near the eastern seashore of the dead sea .	N/A	he explained that they found the two mummies in the ghor al-safi region near the eastern coast of the dead sea .	N/A	1	1	22-17 19-14 20-15 10-9 26-21 8-4 14-12 3-2 18-13 5-6 7-4 13-11 23-18 24-19 2-1 6-7 11-10 21-16 4-5 9-8 25-20 12-11 0-0 1-0			77
488:488	he explained that he will deliver the message to mubarak during their meeting on thursday .	N/A	he said he would give mubarak the message during their meeting thursday .	N/A	1	1	10-8 15-12 8-4 14-11 13-11 6-6 9-5 0-0 4-3 3-2 2-1 5-4 1-1 12-10 7-7 11-9			79
492:492	"the 30-year-old rusedski said : "" i happen to be picked out and this treatment is mistaken , unfair and discriminating . """	N/A	"30-year-old rusedski said : "" i was picked out and this is wrong , unfair and discriminating ."	N/A	1	1	20-16 6-5 19-15 18-14 15-11 11-8 4-3 3-2 1-0 10-7 5-4 2-1 21-17 16-12 0-0 12-9 17-13 13-10 9-6 14-10 8-6 7-6			77
499:499	"and he said "" for this reason i say that the year 2005 is an important year in our history . """	N/A	"he said : "" i therefore say that 2005 is an important year in our history "" ."	N/A	1	1	10-8 14-10 11-8 5-5 1-0 20-17 13-9 19-15 18-14 15-11 8-6 17-13 7-4 3-3 6-5 2-1 9-7 16-12 21-16 12-8 4-5			83
509:509	and blair said that american and british forces had hit 30 targets on sunday evening .	N/A	blair said that u.s. and british forces hit 30 targets sunday night .	N/A	1	1	10-8 15-12 6-5 14-11 5-4 7-6 3-2 1-0 2-1 4-3 8-7 9-7 12-10 11-9 13-10			77
512:512	he called for intensive talks to be held over the next few weeks .	N/A	he called on intensive talks in the next few weeks .	N/A	1	1	2-2 3-3 8-5 9-6 11-8 10-7 1-1 4-4 0-0 12-9 13-10			82
515:515	this version has , however , been denied by both the russians and the ukrainians .	N/A	both the ukrainian and russian sides , however , denied this story .	N/A	1	1	3-6 14-2 15-12 4-7 0-10 1-11 13-1 11-4 12-3 6-9 5-8 9-0 7-9 11-5 14-5 8-0			77
518:518	xinhua news agency report of april 2 from jinan - with the continuous improvement of overall performance , foreign invested enterprises have become the new area for significant growth in shandong 's national economy .	N/A	xinhua news agency . jinan . april 2 . foreign-invested enterprises have become a significant growth point with the improvement of the overall efficiency .	N/A	1	1	34-24 0-0 28-15 2-2 8-4 19-9 16-23 5-6 23-13 27-14 15-22 18-9 1-1 14-20 20-10 22-12 11-18 15-21 6-7 13-19 21-11 10-17 9-8 25-16			78
520:520	her last match was at filderstadt in germany on october 10 last year , where russia 's elena dementieva beat her .	N/A	her last match was at filderstadt in germany on october 10 , 2002 , where she was beaten	N/A	1	1	7-7 2-2 8-8 3-3 19-16 20-15 6-6 19-17 10-10 13-13 5-5 1-1 4-4 0-0 14-14 9-9 12-12 11-12			78
528:528	when the market is closed on friday , dow jones industrial index ends at 10607.23 , up 90.09 or 0.9 % .	N/A	the dow jones industrial closed at 10,607.23 on friday , up 90.09 or 0.9 % .	N/A	1	1	18-12 5-7 10-3 6-8 19-13 8-0 16-10 21-15 17-11 14-6 15-9 20-14 13-5 8-1 12-4 9-2 7-9			80
534:534	mr. min said , after the riot in may , he and his neighbors made this barbed-wire barricade but they never expected that they would have to make use of it so soon .	N/A	mr. min said his neighbors made the barbed wire after the riot in may but they did n't expect to use it so soon .	N/A	1	1	30-21 15-6 20-17 5-10 31-22 14-5 0-0 8-13 7-12 2-2 19-15 6-11 18-14 12-3 13-4 4-9 33-24 21-18 1-1 26-19 16-8 27-20 16-7 29-20 32-23 28-20 20-16			78
536:536	he was sure that canada and china could be very good co-operation partners .	N/A	he thought canada and china could become very good partners .	N/A	1	1	10-8 6-4 5-3 4-2 8-6 9-7 7-5 0-0 12-9 13-10 11-9 3-1 2-1 1-1			77
538:538	sinai gaza , october 2nd / chinkhwa / the palestinian leadership announced this evening its condemnation of the operation that was carried out in the eli sinai settlement north of the gaza strip .	N/A	sinai gaza october 2 / xinhua palestinian leadership denounced this evening the attack on the jewish settlement of eli sinai north of gaza strip .	N/A	1	1	25-18 9-6 11-8 31-22 0-0 29-21 30-22 24-14 17-11 3-2 8-6 5-4 12-9 33-24 15-8 23-13 6-5 10-7 4-3 1-1 26-19 16-8 13-10 32-23 28-20 27-16 18-12			77
547:547	on february 24 president bush announced in the white house that he will support the constitutional amendment on prohibition of homosexual marriage .	N/A	on february 24 , president bush announced that he would support a constitution amendment of banning homosexual marriage .	N/A	1	1	4-5 11-8 0-0 15-12 2-2 14-11 19-15 21-17 12-9 5-6 20-16 17-14 10-7 1-1 13-10 16-13 18-15 3-4 22-18			79
551:551	he stated that the visit paid by premier li peng will promote the peace , security , and stability of the central asia region .	N/A	he says that premier li peng 's visit will promote the central asia 's peace , security and stability .	N/A	1	1	10-8 9-5 15-16 0-0 7-3 2-2 8-4 12-14 11-9 4-7 18-18 24-19 23-12 1-1 20-10 13-14 22-12 19-13 14-15 17-17 3-7 21-11 5-6 6-6			82
561:561	it is expected that tomorrow , monday , santer will go to the palestinian territories to hold a meeting with the chairman of the palestinian national authority , yasser arafat.1	N/A	it is expected that santer will head to the palestinian territories on monday to meet with the palestinian authority 's president , yasser arafat .	N/A	1	1	22-19 25-18 14-10 21-20 9-5 0-0 29-23 13-9 24-17 26-18 11-7 2-2 8-4 19-15 20-20 6-11 18-14 11-6 28-22 15-13 3-3 17-14 10-7 1-1 16-14 23-16 10-6 6-12 12-8 27-21 29-24			82
564:564	"i have too many things waiting for me to do that i ca n't do at the moment . """	N/A	"i have too many things waiting for me that i can not do now . """	N/A	1	1	10-8 16-13 2-2 3-3 13-11 19-15 6-6 18-14 0-0 14-12 5-5 12-10 1-1 11-9 4-4 15-13 7-7 17-13			83
569:569	those smaller-scale enterprises will be managed by the local governments .	N/A	local governments will manage the smaller enterprises .	N/A	1	1	9-1 8-0 6-3 1-5 5-3 3-2 2-6 7-0 4-3 10-7 0-4			85
591:591	the survey was conducted by the social sciences research center of university of hong kong .	N/A	made by the social science research center of hong kong university .	N/A	1	1	13-9 7-4 13-8 6-3 14-9 15-11 9-6 8-5 4-1 11-10 10-7 14-8 5-2 12-8 3-0 12-9 14-10 11-8 11-9 12-10 13-10			79
594:594	for the sake of economic interests of the local immigrants and australia , the british immigrtants association appealed to the government to face this issue seriously .	N/A	the british immigrants association urged the government to face this problem for the sake of local immigrants and the australian economy .	N/A	1	1	2-13 8-15 26-21 4-20 1-12 9-16 7-15 20-6 22-8 23-9 13-0 14-1 5-20 15-2 19-5 18-4 0-11 16-3 10-17 11-19 21-7 11-18 17-4 24-10 3-14			82
595:595	"he added that , "" every role played in this battle is important ."	N/A	he added , every role in this battle is important .	N/A	1	1	6-4 8-5 5-3 9-6 11-8 3-2 10-7 1-1 0-0 12-9 13-10 7-5			89
607:607	north korea did not participate in the 19th winter olympic games held in salt lake city , in the united states .	N/A	north korea did not participate in the 19th winter olympics held in salt lake city , usa .	N/A	1	1	6-6 10-9 13-12 5-5 0-0 2-2 14-13 16-15 18-16 21-17 15-14 9-9 3-3 1-1 4-4 7-7 8-8 19-16 11-10 20-16 12-11			86
610:610	"twenty to thirty million of people will live in the reclaimed areas in the next century , "" china daily "" said ."	N/A	""" china daily "" said that 20 or 30 million people will live in these areas next century ."	N/A	1	1	7-12 2-8 11-15 19-2 14-16 6-11 18-1 15-17 5-10 1-7 17-0 21-4 3-9 20-3 0-6 9-14 8-13 22-18 4-10			78
614:614	secondly , it aims to improve the image of the usa .	N/A	second is to improve the us image .	N/A	1	1	11-7 6-4 10-5 7-6 5-3 4-2 9-5 0-0 3-1			79
627:627	he made it clear that he would hand over the message to mubarak during their meeting on thursday .	N/A	he said he would give mubarak the message during their meeting thursday .	N/A	1	1	13-8 9-6 16-11 0-0 8-4 6-3 17-11 3-1 7-4 18-12 14-9 4-1 15-10 10-7 2-1 5-2 1-1 12-5 11-4			77
629:629	from january to july last year , china imported a total amount of 316 million u.s. dollars worth of meat products from the united states .	N/A	during january to july last year , china imported us $ 316 million of meat products from the united states .	N/A	1	1	22-17 19-14 20-15 6-6 5-5 0-0 2-2 16-10 14-12 18-13 3-3 13-11 23-18 24-19 1-1 4-4 7-7 8-8 15-9 21-16 25-20			82
631:631	this attack brought up the death toll of palestinians to 1,562 since they launched an uprising in september of two years ago .	N/A	this attack took the death toll to 1,562 since palestinians ' uprising in september two years ago .	N/A	1	1	22-17 2-2 19-14 6-5 20-15 15-11 9-6 11-8 21-16 3-2 10-7 1-1 5-4 4-3 16-12 0-0 17-13 12-9			82
643:643	after the signing ceremony , president akaev and premier li peng have answered questions from the correspondents separately .	N/A	after the signing ceremonym president akaev and premier li peng answered questions of reporters .	N/A	1	1	16-13 2-2 3-3 6-5 13-11 5-4 18-14 10-9 7-6 11-10 0-0 14-12 8-7 12-10 1-1 15-13 9-8			81
649:649	moussa 's one-day visit coincides with the visit by the sudanese foreign minister , mustafa osman ismail , who arrived today , saturday , in tripoli .	N/A	mossa 's one-day visit coincides with the sudanese foreign minister 's visit , who arrived tripoli today , i.e. on saturday .	N/A	1	1	22-19 19-14 26-21 9-6 11-8 5-5 0-0 2-2 6-11 22-20 17-12 21-17 12-9 18-13 20-16 3-3 10-7 1-1 4-4 7-11 24-15 25-15 8-10			88
653:653	this is the first time for the olympic delegations of both north and south korea to march together into the winter olympic games stadium while holding hands .	N/A	this was the first time that the south and north korean olympic delegations had ever marched in together at the winter olympics .	N/A	1	1	14-10 6-6 0-0 27-22 2-2 20-20 16-15 11-9 3-3 18-18 21-21 19-19 1-1 4-4 8-12 13-7 7-11 17-17 12-8 22-21 5-5			80
656:656	the amount of the electricity transferred to quangdong will reach 36.4 billion kilowatts during this year , with an increase of 46.7 percent on an annual basis .	N/A	the volume of electricity transferred to quangdong will reach 36.4 billion kilowatts , an annual increase of 46.7 %	N/A	1	1	25-14 10-9 8-7 0-0 2-2 19-15 24-14 5-4 21-17 18-13 6-5 7-6 16-12 4-3 1-1 23-14 11-10 20-16 9-8 26-14 22-18 12-11 3-3			78
663:663	clinton planned to increase the aids research funds with 30 percent for the national health research institute .	N/A	clinton planned to increase 30 % aids research funds to national health research institute .	N/A	1	1	5-6 4-6 16-13 15-12 2-2 3-3 14-11 17-14 10-5 6-7 7-8 0-0 1-1 11-9 12-10 9-4 13-10			88
671:671	and blair said that american and british forces had hit 30 targets on sunday evening .	N/A	american and british forces hit 30 targets sunday night , blair said .	N/A	1	1	7-3 15-12 4-0 8-4 2-11 13-7 10-5 11-6 0-9 1-10 14-8 6-2 12-7 5-1 9-4			83
679:679	he added that it had been brought down in the western province of farah in the country .	N/A	he added that it came down in the western farah province of the country .	N/A	1	1	13-9 10-8 15-12 2-2 6-4 3-3 14-11 16-13 17-14 7-5 11-10 8-6 5-4 1-1 4-4 9-7 0-0 12-9			87
681:681	for the israeli fighters hovered yesterday and the day before yesterday over the middle and eastern parts of lebanon .	N/A	the israeli planes flew yesterday and the day before yesterday over central and eastern lebanon .	N/A	1	1	15-13 6-5 13-11 19-15 18-14 10-9 7-6 11-10 4-3 14-12 8-7 1-0 3-2 5-4 2-1 9-8 12-11 17-14 16-14			78
684:684	the total investments for the project , which is the first industrial garden for communications and information in china , are more than a billion us dollars .	N/A	total investment for the project , which is the first information and communications park in china exceeds one billion us dollars .	N/A	1	1	25-19 10-9 8-7 1-0 0-0 26-20 24-18 16-10 15-11 14-12 3-2 5-4 9-8 6-5 17-14 7-6 2-1 4-3 12-13 22-16 18-15 21-16 23-17 20-16 27-21 11-13			81
687:687	shimon peres has taken oath as the new president of israel .	N/A	simon peres takes oath as president of israel	N/A	1	1	2-2 5-4 8-5 9-6 3-2 10-7 1-1 4-3 0-0			85
692:692	it was circulated that wong is the sister of robert ching , the owner of a company that manufactures plastic furniture and rubber sponge products .	N/A	wong is the sister of robert cheng , owner of a company that manufactures plastic furniture and rubber foam products .	N/A	1	1	22-17 19-14 4-0 20-15 13-8 9-5 16-11 6-2 7-3 5-1 11-7 8-4 17-12 18-13 23-18 24-19 14-9 15-10 10-6 21-16 12-8 25-20			84
695:695	these measures to benefit the people have already been extended to more than 12,000 migrant peasant workers .	N/A	this measure to benefit people has already benefitted over 12,000 rural migrant workers .	N/A	1	1	13-9 2-2 3-3 6-5 14-11 5-4 7-6 11-8 15-10 12-8 16-12 1-1 4-4 0-0 17-13 8-7 10-7 9-7			77
714:714	"other officials said that the new people 's army had strengthened attacks against the so-called "" soft "" targets , for example , the telecommunication and power facilities ."	N/A	"other officials said that the npa has intensified attacks on the so-called "" soft "" targets such as telecommunications and power facilities ."	N/A	1	1	25-19 9-6 11-8 5-5 20-17 0-0 26-20 15-12 2-2 14-11 24-18 21-17 7-5 12-9 28-22 3-3 6-5 17-14 23-18 10-7 1-1 4-4 13-10 16-13 8-5 18-15 21-16 20-16 27-21			77
720:720	it is pointed out that bahrain hosts the headquarters of the american fifth fleet command .	N/A	bahrain is known to host the headquarters of the american fifth fleet .	N/A	1	1	10-8 15-12 6-4 13-11 5-0 8-6 9-7 7-5 12-10 11-9 2-2 0-1 3-3 1-2 0-2 1-3 0-3 4-3 4-1 3-2 2-3 2-1 1-1 4-2 3-1			78
726:726	paraguay exports about 60 thousand tons of beef each year and most of the export go to countries like brazil and chile etc .	N/A	each year , paraguay exports about 60,000 tons of beef , mainly to countries such as brazil and chile .	N/A	1	1	12-11 11-11 20-17 5-7 9-1 18-14 17-13 21-18 2-5 16-12 3-6 4-6 6-8 8-0 19-16 23-19 18-15 0-3 1-4 7-9			77
732:732	- further enhancing the development of hong kong 's financial market .	N/A	- further promote the development of hk financial market .	N/A	1	1	10-8 2-2 3-3 6-6 7-6 5-5 1-1 9-7 11-9 4-4 0-0			79
733:733	china issues a polar-region exploration report for the first time	N/A	china issues its first polar exploration report	N/A	1	1	5-6 7-3 3-4 8-3 6-3 1-1 4-5 0-0 9-3 2-2			77
736:736	he said in a cbc interview that he would seriously consider any u.s. requests for providing military assistance in areas outside afghanistan .	N/A	he told cbs that he will seriously consider any us request for military assistance in areas outside afghanistan .	N/A	1	1	9-6 11-8 0-0 14-11 19-15 18-14 6-3 21-17 17-13 3-1 12-9 7-4 10-7 16-12 1-1 2-1 13-10 8-5 4-2 20-16 5-1 22-18			82
746:746	human rights and social justice should become one of the important contents of canadian foreign affairs policy .	N/A	human rights and social justice should become an important part of canadian foreign policy .	N/A	1	1	10-8 16-13 2-2 3-3 13-11 17-14 6-6 0-0 14-12 8-7 5-5 9-7 1-1 11-9 4-4 12-10 7-7 15-12			85
750:750	15 months have now passed since hong kong returned to china . the hong kong government has been trying to remind the residents there that they are chinese .	N/A	since the reversion 15 months ago , hong kong government has been trying to remind residents that they are chinese .	N/A	1	1	20-14 5-0 14-8 26-18 8-2 16-10 25-17 11-6 17-11 18-12 24-16 12-7 19-13 13-7 22-15 21-15 15-9 0-3 27-19 1-4 28-20 10-2 2-5 4-5 3-5 9-2			78
765:765	this is the third time since may , 2000 that the security council has sent delegations to visit african great lakes region .	N/A	this is the third security council delegation to africa 's great lake region since may 2000 .	N/A	1	1	8-15 15-6 19-10 0-0 2-2 20-11 10-4 5-13 3-3 18-9 4-3 1-1 6-14 16-7 12-5 21-12 18-8 22-16 11-4			84
766:766	the dead and the injured are all passengers from the bus .	N/A	all dead and injured are passengers of the bus .	N/A	1	1	10-8 2-2 3-3 5-4 4-3 8-6 1-1 7-5 9-7 11-9 0-0 6-0			84
769:769	approval of draft law pertaining to funding political parties in tunisia	N/A	draft law on funding political parties in tunisia approved	N/A	1	1	7-4 1-8 2-0 6-3 8-5 9-6 4-2 10-7 5-2 3-1 0-8			85
785:785	france 's foreign minister released the above statement at the meeting of the foreign affairs committee of the french national congress yesterday .	N/A	french foreign minister made the above statement yesterday on french parliament of foreign affairs committee .	N/A	1	1	8-8 6-5 18-9 22-15 7-6 13-12 14-13 11-11 3-2 1-0 2-1 5-4 4-3 0-0 21-7 15-14 9-9 9-10 10-9 10-10 19-10 17-9 20-10 16-9			77
793:793	last year , president fox made 15 visits to foreign countries .	N/A	last year , president fox made 15 foreign trips .	N/A	1	1	2-2 3-3 6-6 7-8 5-5 1-1 9-7 11-9 4-4 10-7 0-0			83
